#OTU ID	Platz19	Platz14	Platz11	Platz10	Platz18	Platz15	Platz12	Platz22	Platz13	Platz20	Platz2	Platz1	Platz16	Platz21	Platz24	Platz17	Platz5	Platz25	Platz8	Platz6	Platz7	Platz4	positiv	Platz3	Platz23	Platz9	taxonomy
591285	22.0	435.0	702.0	2338.0	106.0	0.0	581.0	101.0	524.0	6793.0	267.0	2541.0	734.0	2035.0	127.0	287.0	1129.0	377.0	410.0	931.0	3491.0	185.0	0.0	1602.0	1231.0	1177.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__longum
368950	33.0	18.0	173.0	0.0	405.0	305.0	0.0	8.0	73.0	0.0	0.0	0.0	121.0	23.0	71.0	1065.0	174.0	25.0	119.0	26.0	30.0	607.0	0.0	357.0	68.0	153.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
181234	20.0	0.0	0.0	0.0	0.0	328.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	183.0	0.0	0.0	0.0	0.0	0.0	367.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
322835	27.0	75.0	0.0	235.0	609.0	80.0	0.0	0.0	658.0	0.0	0.0	0.0	377.0	0.0	0.0	1943.0	436.0	25.0	15.0	16.0	47.0	0.0	0.0	7.0	22.0	281.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
359149	18.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	190.0	0.0	0.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
149131	18.0	68.0	216.0	0.0	269.0	554.0	14.0	123.0	381.0	24.0	0.0	1349.0	246.0	0.0	131.0	557.0	251.0	386.0	279.0	25.0	59.0	408.0	0.0	190.0	56.0	243.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
362214	33.0	5.0	396.0	0.0	0.0	0.0	0.0	546.0	16.0	361.0	1167.0	0.0	0.0	359.0	178.0	0.0	6.0	94.0	0.0	1542.0	0.0	0.0	0.0	0.0	2533.0	223.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
2653002	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	973.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288.0	0.0	0.0	0.0	154.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
365621	20.0	201.0	0.0	0.0	0.0	0.0	43.0	0.0	1139.0	0.0	0.0	0.0	206.0	11.0	115.0	0.0	261.0	459.0	35.0	50.0	78.0	72.0	0.0	390.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
294606	16.0	124.0	0.0	6.0	729.0	487.0	324.0	98.0	1132.0	0.0	2.0	203.0	157.0	0.0	0.0	1924.0	96.0	114.0	113.0	21.0	4.0	724.0	0.0	93.0	126.0	512.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
