# Constructed from biom file
#OTU ID	Platz12	Platz2	Platz16	Platz13	Platz18	Platz17	Platz15	Platz1	Platz3	Platz19	Platz4	Platz5	Platz7	Platz6	Platz14	Platz8	Platz9	taxonomy
195508	202.0	0.0	0.0	0.0	199.0	154.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caccae
4418496	200.0	444.0	0.0	623.0	0.0	99.0	91.0	2542.0	459.0	0.0	0.0	2073.0	0.0	2.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
184670	188.0	415.0	648.0	1478.0	1347.0	563.0	1399.0	2660.0	0.0	0.0	0.0	958.0	0.0	913.0	0.0	1498.0	810.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
369822	185.0	0.0	86.0	159.0	138.0	70.0	0.0	1040.0	0.0	790.0	115.0	248.0	0.0	0.0	595.0	318.0	1573.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
591285	181.0	371.0	1095.0	146.0	123.0	11.0	1019.0	5590.0	298.0	152.0	0.0	1472.0	4866.0	2981.0	552.0	1436.0	876.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__longum
148121	285.0	126.0	0.0	739.0	120.0	68.0	0.0	907.0	248.0	324.0	407.0	45.0	0.0	1153.0	0.0	174.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
189521	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
4418787	171.0	5.0	640.0	144.0	5.0	118.0	12.0	136.0	42.0	0.0	68.0	0.0	0.0	26.0	0.0	109.0	547.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
336012	168.0	288.0	2623.0	1024.0	395.0	496.0	1853.0	9551.0	1777.0	10211.0	12957.0	3650.0	0.0	58.0	5225.0	9953.0	19141.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
345172	166.0	102.0	214.0	34.0	0.0	0.0	0.0	252.0	0.0	708.0	393.0	33.0	0.0	467.0	118.0	68.0	104.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
362997	160.0	0.0	4064.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	702.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis
4356080	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2248.0	0.0	0.0	210.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__; s__
369526	139.0	455.0	0.0	0.0	188.0	0.0	0.0	64.0	698.0	0.0	607.0	92.0	0.0	4103.0	527.0	61.0	3423.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
851865	137.0	0.0	426.0	435.0	267.0	251.0	0.0	0.0	0.0	0.0	0.0	3908.0	0.0	648.0	4259.0	10442.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
362214	197.0	327.0	776.0	743.0	0.0	119.0	0.0	0.0	978.0	0.0	0.0	748.0	0.0	0.0	643.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
1076587	119.0	117.0	421.0	14.0	306.0	72.0	212.0	128.0	147.0	1209.0	268.0	23.0	0.0	265.0	95.0	43.0	218.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__formicigenerans
362078	193.0	70.0	390.0	92.0	0.0	0.0	0.0	34.0	32.0	48.0	2302.0	219.0	2911.0	143.0	0.0	131.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
312743	113.0	62.0	127.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	234.0	27.0	0.0	234.0	0.0	42.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4469032	209.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	439.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
